epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,77.9548,0.48264,0.52876,1.6439,0.88499,0.98675,0.995,0.88888,0.42004,0.42755,1.22123,0.00058175,0.00058175,0.00058175
56,79.2973,0.46805,0.52397,1.6501,0.90145,0.96507,0.995,0.89555,0.41477,0.38307,1.21016,0.000569375,0.000569375,0.000569375
57,80.6771,0.51584,0.53729,1.68673,0.9034,0.989,0.995,0.89991,0.41165,0.36273,1.21684,0.000557,0.000557,0.000557
58,82.2912,0.51754,0.50007,1.68876,0.94345,0.98775,0.995,0.92518,0.41579,0.35474,1.22808,0.000544625,0.000544625,0.000544625
59,83.6839,0.47595,0.49892,1.68526,0.93996,0.99016,0.995,0.9064,0.41796,0.35173,1.22551,0.00053225,0.00053225,0.00053225
60,85.0657,0.50411,0.56507,1.74094,0.91269,0.98955,0.995,0.91154,0.43024,0.38376,1.23547,0.000519875,0.000519875,0.000519875
61,86.5583,0.50724,0.49235,1.64962,0.89556,0.98839,0.995,0.89484,0.43441,0.39511,1.24901,0.0005075,0.0005075,0.0005075
62,88.0538,0.51009,0.50259,1.73659,0.89958,0.95467,0.995,0.89819,0.45042,0.43513,1.26063,0.000495125,0.000495125,0.000495125
63,89.5508,0.48825,0.47865,1.63901,0.95604,0.86348,0.95333,0.85136,0.4607,0.41737,1.27067,0.00048275,0.00048275,0.00048275
64,90.9915,0.50944,0.45517,1.63561,0.87843,0.9895,0.995,0.85816,0.48867,0.37804,1.32056,0.000470375,0.000470375,0.000470375
65,92.4384,0.49075,0.49852,1.77724,0.88308,0.98896,0.995,0.86829,0.48595,0.37387,1.34304,0.000458,0.000458,0.000458
66,93.9032,0.49052,0.49076,1.63677,0.93549,0.83449,0.95333,0.86787,0.47112,0.46647,1.36883,0.000445625,0.000445625,0.000445625
67,95.4614,0.46195,0.51068,1.67581,0.88422,0.98159,0.995,0.89062,0.47448,0.45104,1.36992,0.00043325,0.00043325,0.00043325
68,96.9188,0.47177,0.47351,1.6806,0.90533,0.99082,0.995,0.88655,0.47787,0.35135,1.35825,0.000420875,0.000420875,0.000420875
69,98.3008,0.44119,0.48138,1.59911,0.90944,0.99261,0.995,0.88052,0.47843,0.34282,1.34821,0.0004085,0.0004085,0.0004085
70,99.7567,0.47456,0.44342,1.61277,0.93987,0.99454,0.995,0.90781,0.43903,0.32889,1.29601,0.000396125,0.000396125,0.000396125
71,101.19,0.42207,0.40774,1.54696,0.94913,0.99771,0.995,0.90784,0.42819,0.34011,1.27673,0.00038375,0.00038375,0.00038375
72,102.681,0.47282,0.45475,1.60818,0.94014,0.99324,0.995,0.90839,0.42867,0.33887,1.26346,0.000371375,0.000371375,0.000371375
73,104.169,0.46008,0.45429,1.63294,0.92465,0.99049,0.995,0.9208,0.43462,0.32016,1.25822,0.000359,0.000359,0.000359
74,105.679,0.45408,0.43064,1.57102,0.90192,0.97992,0.995,0.91568,0.43795,0.32054,1.26532,0.000346625,0.000346625,0.000346625
75,107.165,0.44829,0.45002,1.68262,0.90777,0.96568,0.995,0.90349,0.44215,0.3279,1.26701,0.00033425,0.00033425,0.00033425
76,108.735,0.40578,0.41028,1.59946,0.91719,0.94693,0.995,0.90659,0.45992,0.37512,1.27961,0.000321875,0.000321875,0.000321875
77,110.289,0.44435,0.44461,1.58305,0.98041,0.875,0.9325,0.87204,0.4622,0.39923,1.2845,0.0003095,0.0003095,0.0003095
78,111.858,0.4529,0.46525,1.60921,0.976,0.87233,0.90571,0.84731,0.44395,0.41713,1.26798,0.000297125,0.000297125,0.000297125
79,113.442,0.46668,0.4742,1.66878,0.97896,0.83791,0.90125,0.84492,0.43902,0.43782,1.26741,0.00028475,0.00028475,0.00028475
80,114.987,0.45348,0.46003,1.66918,0.97993,0.83444,0.90125,0.85279,0.41643,0.42898,1.2546,0.000272375,0.000272375,0.000272375
