epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,111.763,0.51981,0.48618,1.91568,0.98822,0.92744,0.995,0.93405,0.4011,0.38713,1.91326,0.000283085,0.000283085,0.000283085
83,113.096,0.49569,0.46414,1.79548,0.9866,0.93243,0.995,0.93074,0.41426,0.38914,1.90313,0.000268938,0.000268938,0.000268938
84,114.39,0.63972,0.5707,1.97367,0.93474,0.99399,0.995,0.92804,0.43858,0.38373,1.88172,0.000254791,0.000254791,0.000254791
85,115.767,0.49899,0.45387,1.86063,0.93854,0.99708,0.995,0.92332,0.43705,0.38192,1.87078,0.000240644,0.000240644,0.000240644
86,117.221,0.51241,0.47479,2.21628,0.94051,1,0.995,0.9195,0.43705,0.37893,1.86854,0.000226497,0.000226497,0.000226497
87,118.674,0.55208,0.49243,1.85209,0.93579,1,0.995,0.90247,0.42767,0.37238,1.84951,0.000212349,0.000212349,0.000212349
88,120.115,0.53396,0.48491,1.89683,0.92991,1,0.995,0.9023,0.39666,0.3694,1.8617,0.000198202,0.000198202,0.000198202
89,121.434,0.47256,0.43769,1.85073,0.9273,1,0.995,0.9134,0.37669,0.36725,1.86522,0.000184055,0.000184055,0.000184055
90,122.753,0.49284,0.45932,1.84991,0.9279,1,0.995,0.91685,0.36949,0.36347,1.85901,0.000169908,0.000169908,0.000169908
91,146.135,0.3378,0.41166,1.62275,0.92905,1,0.995,0.91684,0.36351,0.362,1.84618,0.000155761,0.000155761,0.000155761
92,147.435,0.31305,0.37206,1.65169,0.93454,1,0.995,0.96852,0.35193,0.35727,1.82029,0.000141614,0.000141614,0.000141614
93,148.646,0.35036,0.3942,1.59807,0.93289,1,0.995,0.96845,0.35065,0.35609,1.81643,0.000127467,0.000127467,0.000127467
94,149.764,0.34323,0.41809,1.70404,0.92846,1,0.995,0.96465,0.3524,0.35723,1.81826,0.00011332,0.00011332,0.00011332
95,150.888,0.31048,0.36039,1.65728,0.92752,1,0.995,0.96481,0.35627,0.3557,1.81787,9.91726e-05,9.91726e-05,9.91726e-05
96,152.058,0.31996,0.38084,1.71354,0.92196,1,0.995,0.96492,0.36376,0.35708,1.81467,8.50255e-05,8.50255e-05,8.50255e-05
97,153.247,0.34703,0.46799,1.6951,0.91836,1,0.995,0.94969,0.36,0.35595,1.81271,7.08784e-05,7.08784e-05,7.08784e-05
98,154.395,0.30077,0.36171,1.70604,0.91665,1,0.995,0.94979,0.36081,0.35675,1.81305,5.67313e-05,5.67313e-05,5.67313e-05
99,155.538,0.28918,0.35059,1.70806,0.9202,1,0.995,0.94976,0.35952,0.35352,1.81669,4.25842e-05,4.25842e-05,4.25842e-05
100,156.797,0.27506,0.32876,1.5215,0.92192,1,0.995,0.94962,0.35486,0.35093,1.81835,2.84371e-05,2.84371e-05,2.84371e-05
